gene_name,sample_name,gene_family,drug_class,resistance_mechanism,model_type,num_contigs,cutoff,contig_coverage_breadth,contig_percent_id,contig_species,num_reads,read_coverage_breadth,read_coverage_depth,read_species,total_reads,rpm,dpm
aads,OPS_009_UTAH_ESBL_DNA_3-6mo_S129_L002,ANT(6),aminoglycoside antibiotic,antibiotic inactivation,protein homolog,1,Perfect,99.6528,100.0,Unknown taxonomy (chromosome or plasmid),31.0,100.0,4.69,,110405192,10.47,1.58
acrd,OPS_009_UTAH_ESBL_DNA_3-6mo_S129_L002,resistance-nodulation-cell division (RND) antibiotic efflux pump,aminoglycoside antibiotic,antibiotic efflux,protein homolog,0,,,,,3.0,13.9,0.1,,110405192,1.01,0.03
adef,OPS_009_UTAH_ESBL_DNA_3-6mo_S129_L002,resistance-nodulation-cell division (RND) antibiotic efflux pump,fluoroquinolone antibiotic; tetracycline antibiotic,antibiotic efflux,protein homolog,1,Strict,97.8302,42.99,Phocaeicola dorei (chromosome),,,,,110405192,0.0,0.0
aph(2'')-ig,OPS_009_UTAH_ESBL_DNA_3-6mo_S129_L002,APH(2''),aminoglycoside antibiotic,antibiotic inactivation,protein homolog,0,,,,,1.0,13.79,0.14,Campylobacter (plasmid): 1; ,110405192,0.34,0.05
aph(3')-iiia,OPS_009_UTAH_ESBL_DNA_3-6mo_S129_L002,APH(3'),aminoglycoside antibiotic,antibiotic inactivation,protein homolog,0,,,,,1.0,18.87,0.19,,110405192,0.34,0.06
bifidobacterium adolescentis rpob mutants conferring resistance to rifampicin,OPS_009_UTAH_ESBL_DNA_3-6mo_S129_L002,rifamycin-resistant beta-subunit of RNA polymerase (rpoB),rifamycin antibiotic,antibiotic target alteration; antibiotic target replacement,protein homolog,0,,,,,91.0,50.6,0.93,,110405192,30.73,0.31
cats,OPS_009_UTAH_ESBL_DNA_3-6mo_S129_L002,chloramphenicol acetyltransferase (CAT),phenicol antibiotic,antibiotic inactivation,protein homolog,0,,,,,2.0,46.54,0.16,,110405192,0.68,0.05
cbla-1,OPS_009_UTAH_ESBL_DNA_3-6mo_S129_L002,CblA beta-lactamase,cephalosporin,antibiotic inactivation,protein homolog,0,,,,,25.0,91.92,3.97,,110405192,8.44,1.34
cfxa3,OPS_009_UTAH_ESBL_DNA_3-6mo_S129_L002,CfxA beta-lactamase,cephamycin,antibiotic inactivation,protein homolog,1,Perfect,99.6894,100.0,Unknown taxonomy (chromosome or plasmid),36.0,100.0,4.86,,110405192,12.16,1.64
crxa,OPS_009_UTAH_ESBL_DNA_3-6mo_S129_L002,subclass B1 Bacteroides xylanisolvens crx beta-lactamase,carbapenem,antibiotic inactivation,protein homolog,0,,,,,5.0,51.28,0.68,,110405192,1.69,0.23
dfrf,OPS_009_UTAH_ESBL_DNA_3-6mo_S129_L002,trimethoprim resistant dihydrofolate reductase dfr,diaminopyrimidine antibiotic,antibiotic target replacement,protein homolog,1,Perfect,99.3939,100.0,Unknown taxonomy (chromosome or plasmid),7.0,100.0,1.88,,110405192,2.36,0.63
emrk,OPS_009_UTAH_ESBL_DNA_3-6mo_S129_L002,major facilitator superfamily (MFS) antibiotic efflux pump,tetracycline antibiotic,antibiotic efflux,protein homolog,0,,,,,1.0,14.2,0.14,Escherichia coli (chromosome): 1; ,110405192,0.34,0.05
emry,OPS_009_UTAH_ESBL_DNA_3-6mo_S129_L002,major facilitator superfamily (MFS) antibiotic efflux pump,tetracycline antibiotic,antibiotic efflux,protein homolog,0,,,,,1.0,8.9,0.09,,110405192,0.34,0.03
epta,OPS_009_UTAH_ESBL_DNA_3-6mo_S129_L002,pmr phosphoethanolamine transferase,peptide antibiotic,antibiotic target alteration,protein homolog,0,,,,,2.0,18.25,0.18,,110405192,0.68,0.06
ered,OPS_009_UTAH_ESBL_DNA_3-6mo_S129_L002,macrolide esterase,macrolide antibiotic,antibiotic inactivation,protein homolog,0,,,,,7.0,61.21,0.86,,110405192,2.36,0.29
ermb,OPS_009_UTAH_ESBL_DNA_3-6mo_S129_L002,Erm 23S ribosomal RNA methyltransferase,macrolide antibiotic; lincosamide antibiotic; streptogramin antibiotic; streptogramin A antibiotic; streptogramin B antibiotic,antibiotic target alteration,protein homolog,0,,,,,1.0,13.79,0.14,Enterococcus faecalis (chromosome or plasmid): 1; ,110405192,0.34,0.05
ermf,OPS_009_UTAH_ESBL_DNA_3-6mo_S129_L002,Erm 23S ribosomal RNA methyltransferase,macrolide antibiotic; lincosamide antibiotic; streptogramin antibiotic; streptogramin A antibiotic; streptogramin B antibiotic,antibiotic target alteration,protein homolog,1,Strict,99.6255,98.5,Unknown taxonomy (chromosome or plasmid),57.0,100.0,9.19,Bacteroides (chromosome or plasmid): 1; ,110405192,19.25,3.1
ermg,OPS_009_UTAH_ESBL_DNA_3-6mo_S129_L002,Erm 23S ribosomal RNA methyltransferase,macrolide antibiotic; lincosamide antibiotic; streptogramin antibiotic; streptogramin A antibiotic; streptogramin B antibiotic,antibiotic target alteration,protein homolog,0,,,,,2.0,26.94,0.41,,110405192,0.68,0.14
